date,treatment,tray,tube.1,tube.2,tube.3,tube.4,tube.5,tube.6,tube.7,tube.8,tube.9,tube.10,sum.cells
2015-05-05T00:00:00Z,Csc,10,0,0,0,0,0,0,0,0,0,2,2
2015-05-08T00:00:00Z,Csc,1,0,2,0,0,0,0,2,0,2,2,8
2015-05-08T00:00:00Z,Csc,2,0,0,1,1,1,2,0,0,1,0,6
2015-05-08T00:00:00Z,Csc,3,0,0,0,1,3,0,0,3,1,0,8
2015-05-08T00:00:00Z,Csc,4,0,0,0,0,1,2,0,0,0,2,5
2015-05-08T00:00:00Z,Csc,5,2,0,0,1,0,0,0,0,0,0,3
2015-05-08T00:00:00Z,Csc,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,Csc,7,1,0,0,0,0,0,0,0,0,0,1
2015-05-08T00:00:00Z,Csc,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,Csc,9,0,0,0,0,0,0,0,0,1,1,2
2015-05-08T00:00:00Z,Csc,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-11T00:00:00Z,Csc,1,2,3,0,2,3,3,2,3,4,2,24
2015-05-11T00:00:00Z,Csc,2,0,0,1,1,0,0,0,1,2,8,13
2015-05-11T00:00:00Z,Csc,3,0,1,1,1,2,2,3,5,3,0,18
2015-05-11T00:00:00Z,Csc,4,0,3,0,3,5,0,4,4,0,3,22
2015-05-11T00:00:00Z,Csc,5,4,1,0,1,0,2,3,0,2,3,16
2015-05-11T00:00:00Z,Csc,6,0,0,0,0,0,0,0,0,1,0,1
2015-05-11T00:00:00Z,Csc,7,4,0,0,0,0,0,0,0,0,0,4
2015-05-11T00:00:00Z,Csc,8,0,0,0,2,3,0,0,5,0,0,10
2015-05-11T00:00:00Z,Csc,9,6,0,0,1,1,0,0,0,0,4,12
2015-05-11T00:00:00Z,Csc,10,0,0,0,7,5,4,0,0,1,3,20
2015-05-14T00:00:00Z,Csc,1,2,0,5,2,2,5,0,5,2,0,23
2015-05-14T00:00:00Z,Csc,2,2,4,0,1,0,1,1,0,5,2,16
2015-05-14T00:00:00Z,Csc,3,0,0,5,0,0,2,0,0,0,0,7
2015-05-14T00:00:00Z,Csc,4,0,0,0,6,3,0,0,0,6,1,16
2015-05-14T00:00:00Z,Csc,5,3,7,3,6,6,2,0,4,0,0,31
2015-05-14T00:00:00Z,Csc,6,0,0,0,0,0,0,0,6,1,0,7
2015-05-14T00:00:00Z,Csc,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-14T00:00:00Z,Csc,8,0,0,0,0,0,0,1,0,0,0,1
